original,cleaned,count
QUANTICO,QUANTICO,1
QUEENSTOWN,QUEENSTOWN,12
RAGGED POINT,RAGGED POINT,1
REHOBETH,REHOBETH,1
REHOBOTH,REHOBOTH,4
REHOBOTH BEACH,REHOBOTH BEACH,4
RIDGE,RIDGE,4
RIDGELY,RIDGELY,1
RIVA,RIVA,2
RIVIERA BEACH,RIVIERA BEACH,2
ROCK HALL,ROCK HALL,16
ROCKHALL,ROCKHALL,3
ROCKWWOD BEACH,ROCKWWOD BEACH,1
ROMANCOKE,ROMANCOKE,2
ROSE HAVEN,ROSE HAVEN,1
ROSEHAVEN,ROSEHAVEN,2
ROYAL OAK,ROYAL OAK,3
RUMBLY,RUMBLY,1
SAINT LEONARD,SAINT LEONARD,1
SAINT MICHAELS,SAINT MICHAELS,1
SALISBURY,SALISBURY,9
SANDYLAND BEACH,SANDYLAND BEACH,1
SCOTLAND,SCOTLAND,7
SEAFORD,SEAFORD,2
SECRETARY,SECRETARY,2
SEVERNA PARK,SEVERNA PARK,10
SHADY SIDE,SHADY SIDE,6
SHADYSIDE,SHADYSIDE,1
SHARPSBURG,SHARPSBURG,2
SHARPTOWN,SHARPTOWN,2
SHRPSBURG,SHRPSBURG,1
SMYRNA,SMYRNA,3
SNOW HILL,SNOW HILL,7
SNUG HARBOR,SNUG HARBOR,1
SOLLEY,SOLLEY,1
SOLOMON'S ISLAND,SOLOMON'S ISLAND,2
SOLOMONS,SOLOMONS,10
SOLOMONS HARBOR,SOLOMONS HARBOR,1
SOLOMONS ISLAND,SOLOMONS ISLAND,7
SOUTH BETHANY,SOUTH BETHANY,2
SPARROWS POINT,SPARROWS POINT,4
ST GEORGE,ST GEORGE,1
ST LEONARD,ST LEONARD,1
ST MARY'S CITY,ST MARY'S CITY,1
ST MICHAELS,ST MICHAELS,5
ST. GEORGE,ST. GEORGE,1
ST. GEORGE'S,ST. GEORGE'S,1
ST. GEORGES,ST. GEORGES,1
ST. GEORGES ISLAND,ST. GEORGES ISLAND,1
ST. LEONARD,ST. LEONARD,3
ST. MARYS,ST. MARYS,1
ST. MICHAELS,ST. MICHAELS,14
STAFFORD,STAFFORD,1
STERLING VA,STERLING VA,1
STEVENSVILLE,STEVENSVILLE,28
STEVENVILLE,STEVENVILLE,7
STILL POND,STILL POND,28
STILLPOND,STILLPOND,2
STOCKTON,STOCKTON,1
STUMP NECK,STUMP NECK,1
SUMMERS PT -NJ,SUMMERS PT -NJ,1
SWAN TON,SWAN TON,1
SWANTON,SWANTON,79
"SWANTON, MD","SWANTON, MD",1
SWANTOWN,SWANTOWN,1
TALL TIMBERS,TALL TIMBERS,2
TAYLOR ISLAND,TAYLOR ISLAND,1
TAYLOR'S ISLAND,TAYLOR'S ISLAND,1
TAYLORS ISLAND,TAYLORS ISLAND,1
THAYERVILLE,THAYERVILLE,1
THOMAS,THOMAS,1
"TIDWELL, VA","TIDWELL, VA",1
TIGHMAN,TIGHMAN,1
TILGHMAN,TILGHMAN,9
TILGHMAN ISLAND,TILGHMAN ISLAND,3
TILGHMAN ISLAND MD,TILGHMAN ISLAND MD,1
TILGMAN,TILGMAN,1
TODDVILLE,TODDVILLE,1
TOWN CREEK,TOWN CREEK,1
TOWNSEND,TOWNSEND,1
TRACY'S LANDING,TRACY'S LANDING,1
TRAPPE,TRAPPE,3
UNKNOWN,UNKNOWN,1
VIENNA,VIENNA,2
WALDORF,WALDORF,1
WASHINGTON,WASHINGTON,9
"WASHINGTON, DC","WASHINGTON, DC",9
WELCOME,WELCOME,4
WEST OCEAN CITY,WEST OCEAN CITY,1
WESTOVER,WESTOVER,1
WHITMAN,WHITMAN,1
WICOMICO SHORES,WICOMICO SHORES,1
WILLIAMSPORT,WILLIAMSPORT,8
WILMINGTON,WILMINGTON,3
WITTMAN,WITTMAN,1
WOODBRIDGE,WOODBRIDGE,1
WORTON,WORTON,24
WYE  MILLS,WYE  MILLS,1
WYE MILLS,WYE MILLS,3
